trial,sort,pattern_stimuli,choice_stimuli_1,choice_stimuli_2,correct_answer,rewarded_answer,prob_violation,condition,feedback_time_duration,mood_rating,leftright_counter,repetition,pair,stim1,stim2,stim_left,stim_right,raw_choice_stimuli_1,raw_choice_stimuli_2,feedback,raw_correct_answer,raw_rewarded_answer,longdelay,break_trial
135,35,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,0,0,17,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
136,107,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,0,0,17,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
137,71,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,1,short1high,750,0,1,17,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
138,89,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,1,1,17,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
139,125,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,0,short2high,750,0,0,17,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
140,17,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,17,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
141,143,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,0,1,17,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
142,53,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,1,0,17,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
143,18,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,18,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
144,36,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,0,1,18,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
145,90,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,0,1,18,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
146,72,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,0,1,18,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
147,126,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,j,0,short1low,750,1,0,18,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,0,f,j,0,0
148,108,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,j,1,long3low,7000,0,0,18,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,0,f,j,1,0
149,54,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,0,1,18,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
150,144,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,0,0,18,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,1
